Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,height,manufacturer_name,manufacturer_part_number,mouser part number,mouser price/stock
1,Unpolarized capacitor,C,C3C4,100nF,C_0805_2012Metric,2,~,,,,,,
2,,C_Small-Device-ISM02A-rescue,C2,1uF,C_0805_2012Metric,1,,5c70984812875079b91f8bf2,,,,,
3,,C_Small-Device-ISM02A-rescue,C1,10uF,C_0805_2012Metric,1,,5c70984812875079b91f8bbe,,,,,
4,,D_ZENER-MLAB_D,D1,"BZV55C-5,6V",D_SMA,1,,5c70984512875079b91f88b2,,,,,
5,High Speed Comparator with LVDS Output,LMH7220MK_NOPB,IC2,LMH7220MK_NOPB,SOT-23-6,1,http://www.ti.com/lit/gpn/lmh7220,,1.1,Texas Instruments,LMH7220MK/NOPB,926-LMH7220MK/NOPB,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LMH7220MK-NOPB?qs=7lkVKPoqpbY%252B%252BlU26oUBug%3D%3D
6,800-ps high-speed rail-rail input comparator with LVDS outputs,TLV3604DCKR,IC1,TLV3604DCKR,SC-70-6,1,https://www.ti.com/lit/gpn/tlv3604,,1.1,Texas Instruments,TLV3604DCKR,595-TLV3604DCKR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV3604DCKR?qs=eP2BKZSCXI640M7VQt%252Bohw%3D%3D
7,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J1,"2,4 - 5,5V",Straight_2x03,1,,,,,,,
8,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",Conn_Coaxial,J2J3J4J5,Conn_Coaxial,SMA6251A13G50,4, ~,,,,,,
9,"2x04 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x04_PARALLEL,J6J7,HEADER_2x04_PARALLEL,Straight_2x04,2,,,,,,,
